maktimestamp,altitude,velocity
1533207706.790,518.1600000000001,
1533207706.993,,4.8768
1533207707.387,518.1600000000001,
1533207707.495,,4.8768
1533207707.872,,3.5763200000000004
1533207707.987,518.1600000000001,
1533207708.331,,3.5763200000000004
1533207708.538,525.78,
1533207708.788,,3.2512000000000003
1533207708.869,525.78,
1533207709.242,,3.2512000000000003
1533207709.344,525.78,
1533207709.738,525.78,
1533207709.841,,1.95072
1533207710.320,525.78,
1533207710.334,,1.95072
1533207710.917,525.78,
1533207710.966,,2.60096
1533207711.459,533.4,
1533207711.532,,2.60096
1533207711.955,533.4,
1533207712.022,,1.6256000000000002
1533207712.552,533.4,
1533207712.652,,1.6256000000000002
1533207712.932,533.4,
1533207713.052,,1.30048
1533207713.455,533.4,
1533207713.488,,1.30048
1533207713.867,533.4,
1533207714.049,,1.6256000000000002
1533207714.453,533.4,
1533207714.536,,1.6256000000000002
1533207714.860,533.4,
1533207715.015,,1.6256000000000002
1533207715.350,533.4,
1533207715.480,,1.6256000000000002
1533207715.924,541.02,
1533207716.114,,2.9260800000000002
1533207716.482,541.02,
1533207716.661,,2.9260800000000002
1533207717.099,541.02,
1533207717.163,,2.60096
1533207717.490,541.02,
1533207717.537,,2.60096
1533207717.969,541.02,
1533207718.062,,1.30048
1533207718.338,541.02,
1533207718.552,,1.30048
1533207718.881,541.02,
1533207719.108,,0.65024
1533207719.289,541.02,
1533207719.515,,0.65024
1533207719.782,541.02,
1533207720.065,,0.0
1533207720.300,541.02,
1533207720.508,,0.0
1533207720.767,541.02,
1533207721.095,,-0.65024
1533207721.239,541.02,
1533207721.531,,-0.65024
1533207721.792,541.02,
1533207721.987,,0.32512
1533207722.199,541.02,
1533207722.426,,0.32512
1533207722.662,541.02,
1533207722.770,541.02,
1533207722.838,,-0.32512
1533207723.132,541.02,
1533207723.344,,-0.32512
1533207723.590,541.02,
1533207723.801,,-1.6256000000000002
1533207724.207,541.02,
1533207724.322,,-1.6256000000000002
1533207724.706,541.02,
1533207724.713,,-0.97536
1533207725.215,541.02,
1533207725.248,,-0.97536
1533207725.751,533.4,
1533207725.833,,-1.6256000000000002
1533207726.265,533.4,
1533207726.406,,-1.6256000000000002
1533207726.893,533.4,
1533207726.930,,-0.97536
1533207727.425,533.4,
1533207727.474,,-0.97536
1533207727.900,,-0.32512
1533207728.056,533.4,
1533207728.331,,-0.32512
1533207728.481,533.4,
1533207728.831,,0.32512
1533207728.946,533.4,
1533207729.355,,0.32512
1533207729.437,533.4,
1533207729.929,533.4,
1533207729.930,,0.32512
1533207730.396,533.4,
1533207730.522,,0.32512
1533207730.971,,2.27584
1533207731.040,541.02,
1533207731.514,,2.27584
1533207731.577,541.02,
1533207732.046,,0.65024
1533207732.050,541.02,
1533207732.603,,0.65024
1533207732.604,541.02,
1533207733.120,,-1.6256000000000002
1533207733.218,541.02,
1533207733.577,,-1.6256000000000002
1533207733.811,541.02,
1533207734.083,,-0.97536
1533207734.361,533.4,
1533207734.581,,-0.97536
1533207734.802,533.4,
1533207735.272,533.4,
1533207735.485,,-2.27584
1533207735.877,533.4,
1533207736.005,,-2.9260800000000002
1533207736.306,533.4,
1533207736.604,,-2.9260800000000002
1533207736.798,533.4,
1533207737.144,,-1.30048
1533207737.226,525.78,
1533207737.583,,-1.30048
1533207737.732,533.4,
1533207738.179,,1.95072
1533207738.318,533.4,
1533207738.762,,0.0
1533207738.786,533.4,
1533207739.282,,0.0
1533207739.376,533.4,
1533207739.879,533.4,
1533207739.906,,0.97536
1533207740.292,533.4,
1533207740.382,,0.97536
1533207740.854,,0.32512
1533207740.856,533.4,
1533207741.338,,0.32512
1533207741.453,533.4,
1533207741.868,,-0.32512
1533207741.931,533.4,
1533207742.312,,-0.32512
1533207742.547,533.4,
1533207742.908,,-1.95072
1533207743.099,533.4,
1533207743.473,,-1.95072
1533207743.694,533.4,
1533207743.970,,-1.6256000000000002
1533207744.308,533.4,
1533207744.536,,-1.6256000000000002
1533207744.843,525.78,
1533207745.057,,-3.5763200000000004
1533207745.366,525.78,
1533207745.476,,-3.5763200000000004
1533207745.930,525.78,
1533207746.023,,-2.9260800000000002
1533207746.445,,-2.9260800000000002
1533207746.492,525.78,
1533207746.908,,-0.65024
1533207746.940,525.78,
1533207747.397,,-0.65024
1533207747.458,525.78,
1533207747.921,525.78,
1533207747.989,,-0.32512
1533207748.401,,-0.32512
1533207748.477,525.78,
1533207748.909,,0.0
1533207749.026,525.78,
1533207749.464,,0.0
