maktimestamp,altitude,velocity
1533208024.803,2743.2000000000003,
1533208024.973,,8.45312
1533208025.278,2743.2000000000003,
1533208025.485,,8.45312
1533208025.536,2743.2000000000003,
1533208025.767,2750.82,
1533208025.769,,8.45312
1533208026.207,2750.82,
1533208026.288,2750.82,
1533208026.438,,8.45312
1533208026.621,,8.45312
1533208026.867,2758.44,
1533208027.023,,8.45312
1533208027.171,2750.82,
1533208027.401,2758.44,
1533208027.431,,8.45312
1533208027.864,,8.45312
1533208027.895,2766.06,
1533208028.049,2758.44,
1533208028.072,,8.45312
1533208028.308,2766.06,
1533208028.501,,8.45312
1533208028.717,2773.6800000000003,
1533208028.870,,8.45312
1533208028.995,,8.45312
1533208029.164,2773.6800000000003,
1533208029.420,,8.45312
1533208029.479,2773.6800000000003,
1533208029.713,2781.3,
1533208029.803,,8.45312
1533208030.230,2781.3,
1533208030.275,2781.3,
1533208030.357,,8.45312
1533208030.570,,8.45312
1533208030.687,2788.92,
1533208031.034,2781.3,
1533208031.110,,8.45312
1533208031.162,2788.92,
1533208031.587,2796.54,
1533208031.653,,8.128
1533208031.853,,8.45312
1533208031.956,2788.92,
1533208032.046,2796.54,
1533208032.253,,8.128
1533208032.615,2804.1600000000003,
1533208032.780,,8.128
1533208032.780,2796.54,
1533208032.813,,8.128
1533208033.203,2804.1600000000003,
1533208033.316,2804.1600000000003,
1533208033.410,,8.128
1533208033.756,2811.78,
1533208033.858,,8.128
1533208034.303,2811.78,
1533208034.424,2811.78,
1533208034.469,,8.128
1533208034.853,2819.4,
1533208034.920,,8.128
1533208035.250,2819.4,
1533208035.492,2819.4,
1533208035.512,,8.128
1533208035.776,2827.02,
1533208036.106,,8.128
1533208036.119,2819.4,
1533208036.354,2834.6400000000003,
1533208036.684,,8.128
1533208036.818,2834.6400000000003,
1533208037.050,2834.6400000000003,
1533208037.112,,8.128
1533208037.305,2842.26,
1533208037.619,,8.128
1533208037.806,2842.26,
1533208038.097,,8.128
1533208038.381,2849.88,
1533208038.621,,8.128
1533208038.663,2842.26,
1533208038.831,2849.88,
1533208038.871,2849.88,
1533208039.137,,8.128
1533208039.390,2857.5,
1533208039.691,,8.128
1533208039.710,2849.88,
1533208039.826,2857.5,
1533208040.126,,8.128
1533208040.227,2865.1200000000003,
1533208040.389,2857.5,
1533208040.660,,8.128
1533208040.756,2865.1200000000003,
1533208041.000,2865.1200000000003,
1533208041.175,,8.128
1533208041.197,2872.7400000000002,
1533208041.662,2872.7400000000002,
1533208041.737,,8.128
1533208041.816,,8.128
1533208042.145,2880.36,
1533208042.301,,8.128
1533208042.442,2872.7400000000002,
1533208042.633,2880.36,
1533208042.634,2880.36,
1533208042.784,,8.128
1533208042.863,,8.128
1533208043.208,2887.98,
1533208043.306,,8.128
1533208043.582,2880.36,
1533208043.773,,8.128
1533208043.806,2887.98,
1533208044.173,,8.128
1533208044.360,2895.6000000000004,
1533208044.453,,8.128
1533208044.501,2887.98,
1533208044.954,2895.6000000000004,
1533208045.215,,8.128
1533208045.218,,8.128
1533208045.503,2903.2200000000003,
1533208045.571,2895.6000000000004,
1533208045.752,,8.128
1533208045.918,,8.128
1533208046.078,2910.84,
1533208046.323,,8.128
1533208046.584,2910.84,
1533208046.671,,8.128
1533208046.704,2910.84,
1533208046.880,,8.128
1533208047.028,2918.46,
1533208047.145,,8.128
1533208047.524,2918.46,
1533208047.668,,8.128
1533208047.699,,8.128
1533208048.077,2926.08,
1533208048.085,,8.128
1533208048.175,,8.128
1533208048.393,2918.46,
1533208048.583,2926.08,
1533208048.595,,8.128
1533208049.027,2933.7000000000003,
1533208049.244,,8.128
1533208049.306,2926.08,
1533208049.477,,8.128
1533208049.581,2933.7000000000003,
1533208049.728,,8.128
1533208050.057,2941.32,
1533208050.216,,8.128
1533208050.570,2941.32,
1533208050.634,2941.32,
1533208050.757,,8.45312
1533208050.851,,8.128
1533208051.126,2948.94,
1533208051.190,,8.45312
1533208051.624,2948.94,
1533208051.654,,8.45312
1533208051.700,2948.94,
1533208052.155,,8.45312
1533208052.216,2956.56,
1533208052.556,,8.45312
1533208052.701,2964.1800000000003,
1533208052.976,,8.45312
1533208053.144,2964.1800000000003,
1533208053.343,2964.1800000000003,
1533208053.451,,8.45312
1533208053.861,2971.8,
1533208054.015,,8.45312
1533208054.272,2971.8,
1533208054.536,,8.45312
1533208054.782,2979.42,
1533208054.903,2971.8,
1533208055.079,,8.45312
1533208055.248,2979.42,
1533208055.650,,8.45312
1533208055.690,2987.04,
1533208056.107,,8.45312
1533208056.170,2987.04,
1533208056.273,2987.04,
1533208056.565,,8.45312
1533208056.847,2994.6600000000003,
1533208057.055,,8.45312
1533208057.253,2994.6600000000003,
1533208057.262,2994.6600000000003,
1533208057.593,,8.128
1533208057.808,3002.28,
1533208058.102,,8.128
1533208058.162,2994.6600000000003,
1533208058.305,3002.28,
1533208058.375,3002.28,
1533208058.701,,8.128
1533208058.822,3009.9,
1533208059.144,3002.28,
1533208059.240,3009.9,
1533208059.245,,8.128
1533208059.716,3017.52,
1533208059.758,3009.9,
1533208059.760,3009.9,
1533208059.782,,8.128
1533208060.134,3017.52,
1533208060.406,,8.128
1533208060.491,3017.52,
1533208060.638,3025.1400000000003,
1533208060.807,,8.128
1533208060.921,,8.45312
1533208061.203,3025.1400000000003,
1533208061.334,,8.45312
1533208061.686,3032.76,
1533208061.784,,8.45312
1533208062.226,,8.45312
1533208062.233,3040.38,
1533208062.250,3032.76,
1533208062.476,,8.45312
1533208062.664,,8.45312
1533208062.710,3040.38,
1533208062.962,3040.38,
1533208063.072,,8.45312
1533208063.262,3048.0,
1533208063.546,,8.45312
1533208063.582,,8.45312
1533208063.784,3048.0,
1533208063.884,3048.0,
1533208064.088,,8.45312
1533208064.186,3048.0,
1533208064.226,3055.6200000000003,
1533208064.345,,8.45312
1533208064.501,,8.128
1533208064.650,3055.6200000000003,
1533208064.798,3055.6200000000003,
1533208065.005,,8.128
1533208065.203,3063.2400000000002,
1533208065.498,,8.128
1533208065.572,3055.6200000000003,
1533208065.745,3063.2400000000002,
1533208065.924,,8.128
1533208066.086,,8.128
1533208066.251,3070.86,
1533208066.288,3063.2400000000002,
1533208066.640,,8.128
1533208066.725,3070.86,
1533208066.825,,8.128
1533208067.094,3070.86,
1533208067.233,,8.128
1533208067.314,3078.48,
1533208067.606,,8.128
1533208067.828,3078.48,
1533208067.952,,8.128
1533208068.067,,8.128
1533208068.224,3078.48,
1533208068.395,3086.1000000000004,
1533208068.598,,8.128
1533208068.681,,8.128
1533208068.832,3086.1000000000004,
1533208069.084,,8.128
1533208069.178,3086.1000000000004,
1533208069.249,3086.1000000000004,
1533208069.346,3093.7200000000003,
1533208069.390,,8.128
1533208069.890,,8.128
1533208069.907,3093.7200000000003,
1533208069.945,3101.34,
1533208070.075,,8.128
1533208070.327,,8.128
1533208070.401,3101.34,
1533208070.736,,8.128
1533208070.883,3101.34,
1533208071.167,,8.128
1533208071.262,3108.96,
1533208071.290,,8.128
1533208071.534,3101.34,
1533208071.665,,8.45312
1533208071.745,3108.96,
1533208072.279,,8.45312
1533208072.304,,8.45312
1533208072.317,3116.5800000000004,
1533208072.354,3108.96,
1533208072.737,,8.45312
1533208072.810,3124.2000000000003,
1533208073.114,,8.45312
1533208073.372,3124.2000000000003,
1533208073.435,3124.2000000000003,
1533208073.625,,8.45312
1533208073.886,,8.45312
1533208073.934,3131.82,
1533208074.146,,8.45312
1533208074.443,3131.82,
1533208074.527,3131.82,
1533208074.637,,8.45312
1533208074.866,3139.44,
1533208075.070,,8.45312
1533208075.319,3139.44,
1533208075.376,3131.82,
1533208075.547,,8.45312
1533208075.849,3147.06,
1533208076.048,3139.44,
1533208076.140,,8.45312
1533208076.385,3147.06,
1533208076.556,,8.45312
1533208076.937,3154.6800000000003,
1533208076.996,3147.06,
1533208077.272,,8.45312
1533208077.511,3162.3,
1533208077.675,,8.45312
1533208078.011,3162.3,
1533208078.043,3162.3,
1533208078.064,3154.6800000000003,
1533208078.093,,8.45312
1533208078.487,3169.92,
1533208078.782,,8.45312
1533208078.837,3162.3,
1533208078.935,3169.92,
1533208078.974,3169.92,
1533208079.386,3169.92,
1533208079.393,,8.45312
1533208079.797,,8.45312
1533208079.956,3177.54,
1533208080.011,3177.54,
1533208080.126,,8.45312
1533208080.516,3185.1600000000003,
1533208080.626,3177.54,
1533208080.790,,8.128
1533208081.077,3185.1600000000003,
1533208081.263,,8.128
1533208081.616,3192.78,
1533208081.673,3185.1600000000003,
1533208081.829,,8.128
1533208082.092,3192.78,
1533208082.354,,8.128
1533208082.574,3192.78,
1533208082.616,3200.4,
1533208082.962,,8.45312
1533208083.107,,8.128
1533208083.229,3200.4,
1533208083.399,,8.45312
1533208083.415,3200.4,
1533208083.707,3208.02,
1533208083.710,3200.4,
1533208083.814,,8.45312
1533208084.234,3215.6400000000003,
1533208084.262,3208.02,
1533208084.387,,8.45312
1533208084.662,3215.6400000000003,
1533208084.901,,8.45312
1533208085.044,3215.6400000000003,
1533208085.338,,8.45312
1533208085.484,3223.26,
1533208085.990,,8.45312
1533208086.099,3223.26,
1533208086.394,,8.45312
1533208086.657,3230.88,
1533208086.980,,8.45312
1533208087.122,3238.5,
1533208087.354,3230.88,
1533208087.519,,8.45312
1533208087.627,3238.5,
1533208088.102,3246.1200000000003,
1533208088.124,,8.45312
1533208088.181,,8.45312
1533208088.248,3238.5,
1533208088.575,3246.1200000000003,
1533208088.598,,8.45312
1533208089.002,,8.45312
1533208089.092,3246.1200000000003,
1533208089.116,,8.45312
1533208089.162,3253.7400000000002,
1533208089.603,,8.45312
1533208089.711,3253.7400000000002,
1533208090.123,3253.7400000000002,
1533208090.155,,8.45312
1533208090.300,3261.36,
1533208090.742,,8.45312
1533208090.901,3268.98,
1533208091.238,,8.45312
1533208091.500,3268.98,
1533208091.830,,8.45312
1533208091.985,3276.6000000000004,
1533208092.248,,8.45312
1533208092.459,3276.6000000000004,
1533208092.657,,8.128
1533208092.906,3284.2200000000003,
1533208093.092,,8.128
1533208093.372,3284.2200000000003,
1533208093.544,3284.2200000000003,
1533208093.598,,8.45312
1533208094.045,3291.84,
1533208094.070,,8.45312
1533208094.570,3291.84,
1533208094.651,,8.45312
1533208095.108,3299.46,
1533208095.172,,8.45312
1533208095.251,,8.45312
1533208095.582,3299.46,
1533208095.586,,8.45312
1533208096.033,3307.0800000000004,
1533208096.058,,8.45312
1533208096.264,3299.46,
1533208096.504,,8.45312
1533208096.538,3314.7000000000003,
1533208096.740,3307.0800000000004,
1533208096.998,3314.7000000000003,
1533208097.069,,8.45312
1533208097.491,3322.32,
1533208097.633,,8.45312
1533208098.073,,8.45312
1533208098.095,3322.32,
1533208098.165,3322.32,
1533208098.607,,8.45312
1533208098.624,3329.94,
1533208099.066,3329.94,
1533208099.190,,8.45312
1533208099.465,3329.94,
1533208099.581,3337.56,
1533208099.725,,8.45312
1533208100.195,3337.56,
1533208100.270,,8.45312
1533208100.674,,8.45312
1533208100.699,3345.1800000000003,
1533208101.083,3345.1800000000003,
1533208101.150,,8.45312
1533208101.540,3352.8,
1533208101.658,,8.45312
1533208101.767,3345.1800000000003,
1533208102.119,3352.8,
1533208102.221,,8.45312
1533208102.660,,8.45312
1533208102.720,3360.42,
1533208102.799,3352.8,
1533208103.197,,8.45312
1533208103.304,3368.04,
1533208103.678,,8.45312
1533208103.900,3368.04,
1533208103.949,3368.04,
1533208104.168,,8.45312
1533208104.320,3368.04,
1533208104.419,3375.6600000000003,
1533208104.649,,8.45312
1533208104.894,3375.6600000000003,
1533208104.986,3375.6600000000003,
1533208105.147,,8.45312
1533208105.451,3383.28,
1533208105.563,,8.45312
1533208105.594,3375.6600000000003,
1533208105.949,3383.28,
1533208106.122,,8.45312
1533208106.391,3390.9,
1533208106.640,,8.45312
1533208106.922,3390.9,
1533208107.140,,8.45312
1533208107.271,3390.9,
1533208107.341,3398.52,
1533208107.633,,8.45312
1533208107.796,3398.52,
1533208107.883,3398.52,
1533208108.046,,8.45312
1533208108.297,,8.45312
1533208108.313,3406.1400000000003,
1533208108.642,3398.52,
1533208108.745,3406.1400000000003,
1533208109.089,,8.45312
1533208109.353,3413.76,
1533208109.528,,8.128
1533208109.652,3406.1400000000003,
1533208109.923,3421.38,
1533208110.036,,8.128
1533208110.200,,8.128
1533208110.372,3421.38,
1533208110.647,,8.128
1533208110.911,3429.0,
1533208111.057,,8.128
1533208111.162,,8.128
1533208111.384,3429.0,
1533208111.543,3429.0,
1533208111.572,,8.128
1533208111.989,,8.128
1533208111.989,3436.6200000000003,
1533208112.343,3429.0,
1533208112.464,,8.128
1533208112.539,3436.6200000000003,
1533208112.560,3436.6200000000003,
1533208112.607,,8.128
1533208112.934,,8.128
1533208112.984,3444.2400000000002,
1533208113.439,,8.128
1533208113.569,3444.2400000000002,
1533208113.991,3451.86,
1533208114.051,,8.128
1533208114.240,3444.2400000000002,
1533208114.412,3451.86,
1533208114.489,,8.128
1533208114.855,,8.128
1533208114.855,3451.86,
1533208114.902,3459.48,
1533208115.389,3459.48,
1533208115.455,,8.128
1533208115.624,3459.48,
1533208115.750,,8.128
1533208115.873,3467.1000000000004,
1533208116.272,3467.1000000000004,
1533208116.388,,8.128
1533208116.799,3474.7200000000003,
1533208116.895,,8.128
1533208117.047,3467.1000000000004,
1533208117.170,,8.128
1533208117.278,3474.7200000000003,
1533208117.474,,8.128
1533208117.795,3474.7200000000003,
1533208117.891,3482.34,
1533208117.994,,8.128
1533208118.136,,8.128
1533208118.416,3482.34,
1533208118.554,,8.128
1533208118.700,3482.34,
1533208118.841,3489.96,
1533208118.993,3482.34,
1533208119.074,,8.128
1533208119.217,,8.128
1533208119.313,3489.96,
1533208119.648,3489.96,
1533208119.658,,8.128
1533208119.733,,8.128
1533208119.765,3489.96,
1533208119.918,3497.5800000000004,
1533208120.195,,8.128
1533208120.283,,8.128
1533208120.393,3497.5800000000004,
1533208120.623,3497.5800000000004,
1533208120.787,,8.45312
1533208120.940,3505.2000000000003,
1533208121.174,,8.128
1533208121.215,,8.45312
1533208121.456,3512.82,
1533208121.664,3505.2000000000003,
1533208121.739,,8.45312
1533208122.028,3512.82,
1533208122.201,,8.45312
1533208122.601,3520.44,
1533208122.655,,8.45312
1533208122.931,,8.45312
1533208123.206,3520.44,
1533208123.231,,8.45312
1533208123.504,3520.44,
1533208123.644,,8.45312
1533208123.706,3528.0600000000004,
1533208124.081,,8.45312
1533208124.252,3535.6800000000003,
1533208124.485,,8.45312
1533208124.501,3528.0600000000004,
1533208124.547,3520.44,
1533208124.816,3535.6800000000003,
1533208124.935,,8.45312
1533208125.341,,8.45312
1533208125.370,3543.3,
1533208125.486,3535.6800000000003,
1533208125.817,,8.45312
1533208125.873,3543.3,
1533208126.056,3543.3,
1533208126.355,,8.45312
1533208126.356,3550.92,
1533208126.428,3543.3,
1533208126.799,3550.92,
1533208126.891,3550.92,
1533208126.993,,8.45312
1533208127.278,3550.92,
1533208127.406,,8.128
1533208127.414,,8.45312
1533208127.485,3558.54,
1533208127.905,3558.54,
1533208127.933,,8.128
1533208128.252,3558.54,
1533208128.287,3566.1600000000003,
1533208128.452,,8.128
1533208128.768,3566.1600000000003,
1533208129.013,,8.128
1533208129.333,3573.78,
1533208129.357,3566.1600000000003,
1533208129.700,,8.128
1533208129.798,3573.78,
1533208130.138,,8.128
1533208130.188,3573.78,
1533208130.300,3581.4,
1533208130.543,,8.128
1533208130.717,3581.4,
1533208130.747,,8.128
1533208130.881,3581.4,
1533208131.153,,8.128
1533208131.232,3589.02,
1533208131.317,,8.128
1533208131.613,,8.128
1533208131.726,,8.128
1533208131.794,3589.02,
1533208132.032,,8.128
1533208132.209,3596.6400000000003,
1533208132.416,,8.128
1533208132.769,3596.6400000000003,
1533208133.034,,8.128
1533208133.290,3604.26,
1533208133.391,,8.128
1533208133.700,3596.6400000000003,
1533208133.750,3604.26,
1533208133.816,3604.26,
1533208134.035,,8.128
1533208134.145,,8.128
1533208134.320,3611.88,
1533208134.487,3604.26,
1533208134.553,,8.128
1533208134.827,3611.88,
1533208134.994,,8.128
1533208135.284,3619.5,
1533208135.376,3611.88,
1533208135.398,,8.128
1533208135.760,3627.1200000000003,
1533208135.886,,8.128
1533208135.975,3619.5,
1533208136.077,,8.128
1533208136.262,3627.1200000000003,
1533208136.456,,8.128
1533208136.480,,8.128
1533208136.702,3627.1200000000003,
1533208136.850,,8.45312
1533208137.268,3634.7400000000002,
1533208137.288,,8.128
1533208137.369,,8.45312
1533208137.818,3642.36,
1533208137.923,,8.128
1533208137.969,,8.45312
1533208138.246,3642.36,
1533208138.326,,8.128
1533208138.667,3642.36,
1533208138.794,,8.128
1533208138.836,3649.98,
1533208138.895,,8.128
1533208139.297,3649.98,
1533208139.423,,8.128
1533208139.656,3649.98,
1533208139.732,,8.128
1533208139.848,,8.128
1533208139.869,3657.6000000000004,
1533208140.000,,8.128
1533208140.031,3657.6000000000004,
1533208140.275,3657.6000000000004,
1533208140.509,,8.128
1533208140.520,,8.128
1533208140.862,3665.2200000000003,
1533208140.960,,8.128
1533208141.033,3657.6000000000004,
1533208141.322,,8.128
1533208141.364,3665.2200000000003,
1533208141.535,,8.45312
1533208141.951,3672.84,
1533208141.966,,8.45312
1533208142.053,3665.2200000000003,
1533208142.075,,8.45312
1533208142.406,3672.84,
1533208142.608,,8.45312
1533208142.880,3680.46,
1533208143.100,,8.45312
1533208143.375,3680.46,
1533208143.540,,8.45312
1533208143.814,3680.46,
1533208143.835,3680.46,
1533208143.858,3688.0800000000004,
1533208143.943,,8.45312
1533208144.451,3695.7000000000003,
1533208144.514,3688.0800000000004,
1533208144.610,,8.128
1533208144.930,3695.7000000000003,
1533208145.010,,8.45312
1533208145.015,,8.128
1533208145.061,3695.7000000000003,
1533208145.427,,8.128
1533208145.507,3703.32,
1533208145.513,3695.7000000000003,
1533208145.920,3703.32,
1533208146.073,,8.128
1533208146.254,3703.32,
1533208146.458,3710.94,
1533208146.595,,8.128
1533208146.905,3710.94,
1533208147.155,,8.128
1533208147.458,3718.5600000000004,
1533208147.662,,8.128
1533208148.004,3718.5600000000004,
1533208148.101,3718.5600000000004,
1533208148.175,,8.128
1533208148.467,3726.1800000000003,
1533208148.759,,8.45312
1533208148.878,3726.1800000000003,
1533208148.931,3726.1800000000003,
1533208149.247,,8.45312
1533208149.402,3733.8,
1533208149.413,3726.1800000000003,
1533208149.773,3733.8,
1533208149.846,,8.45312
1533208150.338,3741.42,
1533208150.371,,8.45312
1533208150.443,3733.8,
1533208150.821,3741.42,
1533208150.831,,8.45312
1533208151.275,3749.04,
1533208151.308,3741.42,
1533208151.320,,8.45312
1533208151.688,3749.04,
1533208151.781,,8.45312
1533208152.242,3756.6600000000003,
1533208152.326,,8.45312
1533208152.735,3756.6600000000003,
1533208152.818,,8.45312
1533208152.945,3756.6600000000003,
1533208152.997,,8.45312
1533208153.296,3764.28,
1533208153.636,,8.45312
1533208153.696,3764.28,
1533208153.831,,8.45312
1533208154.265,3771.9,
1533208154.320,3764.28,
1533208154.365,,8.45312
1533208154.445,,8.45312
1533208154.774,3771.9,
1533208154.860,,8.45312
1533208155.264,3779.52,
1533208155.304,3771.9,
1533208155.306,,8.45312
1533208155.377,,8.45312
1533208155.610,3779.52,
1533208155.795,,8.45312
1533208156.135,3787.1400000000003,
1533208156.361,,8.45312
1533208156.624,3787.1400000000003,
1533208156.685,3787.1400000000003,
1533208156.856,,8.45312
1533208157.160,3794.76,
1533208157.392,,8.45312
1533208157.563,3787.1400000000003,
1533208157.685,3794.76,
1533208157.851,,8.45312
1533208157.877,,8.128
1533208158.105,3802.38,
1533208158.265,,8.128
1533208158.286,3794.76,
1533208158.610,,8.128
1533208158.619,3802.38,
1533208158.723,,8.128
1533208158.945,3802.38,
1533208159.175,3810.0,
1533208159.244,,8.128
1533208159.344,,8.128
1533208159.621,3810.0,
1533208159.791,,8.128
1533208159.856,3810.0,
1533208160.218,3817.6200000000003,
1533208160.244,,8.128
1533208160.701,,8.128
1533208160.741,3825.2400000000002,
1533208160.807,,8.128
1533208161.143,3825.2400000000002,
1533208161.261,,8.128
1533208161.386,3825.2400000000002,
1533208161.467,,8.128
1533208161.616,3825.2400000000002,
1533208162.104,3825.2400000000002,
1533208162.159,3832.86,
1533208162.193,,8.128
1533208162.301,,8.128
1533208162.620,3832.86,
1533208162.737,,8.128
1533208162.900,3832.86,
1533208162.947,,8.128
1533208163.208,3840.48,
1533208163.623,3848.1000000000004,
1533208163.653,,8.128
1533208164.160,3848.1000000000004,
1533208164.200,,8.128
1533208164.360,3848.1000000000004,
1533208164.644,,8.128
1533208164.655,3855.7200000000003,
1533208165.051,,8.128
1533208165.193,3855.7200000000003,
1533208165.488,,8.45312
1533208165.756,3863.34,
1533208165.984,,8.45312
1533208166.241,3863.34,
1533208166.553,,8.45312
1533208166.603,3870.96,
1533208166.798,,8.45312
1533208167.018,,8.45312
1533208167.196,3870.96,
1533208167.645,3878.5800000000004,
1533208167.649,,8.128
1533208167.687,,8.45312
1533208167.954,3870.96,
1533208168.121,3878.5800000000004,
1533208168.124,,8.128
1533208168.688,3886.2000000000003,
1533208168.733,,8.128
1533208168.775,,8.128
1533208169.184,3886.2000000000003,
1533208169.297,,8.128
1533208169.594,3893.82,
1533208169.838,,8.128
1533208170.108,3893.82,
1533208170.393,,8.128
1533208170.670,3901.44,
1533208170.793,,8.128
1533208170.839,3893.82,
1533208171.214,3901.44,
1533208171.251,3901.44,
1533208171.331,,8.128
1533208171.798,3909.0600000000004,
1533208171.868,,8.128
1533208172.175,3901.44,
1533208172.329,3916.6800000000003,
1533208172.364,,8.128
1533208172.805,,8.128
1533208172.894,3916.6800000000003,
1533208173.418,,8.128
1533208173.471,3924.3,
1533208173.884,3924.3,
1533208173.943,,8.128
1533208174.414,3931.92,
1533208174.504,3924.3,
1533208174.555,,8.128
1533208174.578,,8.128
1533208174.965,3931.92,
1533208175.059,,8.128
1533208175.524,,8.128
1533208175.553,3939.5400000000004,
1533208175.773,,8.128
1533208176.004,,8.128
1533208176.118,3939.5400000000004,
1533208176.614,,8.128
1533208176.624,3947.1600000000003,
1533208177.113,,8.128
1533208177.152,3947.1600000000003,
1533208177.677,3954.78,
1533208177.756,,8.128
1533208178.144,,8.128
1533208178.230,3962.4,
1533208178.645,3962.4,
1533208178.718,,8.128
1533208179.122,3962.4,
1533208179.229,,8.128
1533208179.548,3970.02,
1533208179.759,,8.128
1533208179.953,3962.4,
1533208180.022,3970.02,
1533208180.025,3970.02,
1533208180.213,,8.128
1533208180.504,3977.6400000000003,
1533208180.678,,8.128
1533208180.728,3970.02,
1533208181.015,,8.128
1533208181.089,3985.26,
1533208181.111,,8.128
1533208181.525,3985.26,
1533208181.697,,8.128
1533208181.763,,8.128
1533208181.996,3985.26,
1533208182.226,,8.128
1533208182.526,3992.88,
1533208182.704,,8.128
1533208182.981,3992.88,
1533208183.267,,8.128
1533208183.475,4000.5,
1533208183.761,,8.128
1533208183.980,4000.5,
1533208184.236,,8.128
1533208184.466,4008.1200000000003,
1533208184.765,,8.128
1533208184.815,4000.5,
1533208184.867,4008.1200000000003,
1533208184.930,4008.1200000000003,
1533208185.245,,8.128
1533208185.340,4015.7400000000002,
1533208185.755,4015.7400000000002,
1533208185.788,,8.128
1533208186.303,4023.36,
1533208186.334,,8.128
1533208186.873,4023.36,
1533208186.919,,8.128
1533208187.338,4030.98,
1533208187.448,,8.128
1533208187.929,4030.98,
1533208187.972,,8.128
1533208188.330,4038.6000000000004,
1533208188.527,,8.128
1533208188.893,4046.2200000000003,
1533208188.957,,8.128
1533208189.549,,8.128
1533208189.906,4053.84,
1533208190.031,,8.128
1533208190.352,4053.84,
1533208190.532,,8.128
1533208190.881,4061.46,
1533208191.028,,8.128
1533208191.312,4061.46,
1533208191.464,,8.128
1533208191.905,4069.0800000000004,
1533208192.093,,8.128
1533208192.374,4069.0800000000004,
1533208192.609,,8.128
1533208192.866,4076.7000000000003,
1533208193.177,,8.128
1533208193.431,4076.7000000000003,
1533208193.710,,8.128
1533208193.936,4084.32,
1533208194.138,,8.128
1533208194.371,4084.32,
1533208194.633,,8.45312
1533208194.981,4091.94,
1533208195.097,,8.45312
1533208195.517,,8.45312
1533208195.579,4091.94,
1533208196.050,4099.56,
1533208196.080,,8.45312
1533208196.529,4099.56,
1533208196.578,,8.77824
1533208197.163,4107.18,
1533208197.172,,8.77824
1533208197.550,4114.8,
1533208197.697,4107.18,
1533208197.698,,8.77824
1533208197.698,,8.77824
1533208197.988,4114.8,
1533208198.133,4114.8,
1533208198.150,,8.77824
1533208198.559,4122.42,
1533208198.606,4114.8,
1533208198.669,,8.77824
1533208198.683,,8.77824
1533208198.919,4122.42,
1533208199.135,,8.77824
1533208199.451,4130.04,
1533208199.644,,8.45312
1533208199.874,4130.04,
1533208200.004,4130.04,
1533208200.138,,8.45312
1533208200.344,4137.66,
1533208200.702,,8.45312
1533208200.894,4137.66,
1533208200.944,4137.66,
1533208201.054,,8.45312
1533208201.508,4145.280000000001,
1533208201.654,,8.45312
1533208202.067,4145.280000000001,
1533208202.067,,8.45312
1533208202.480,4152.900000000001,
1533208202.615,,8.45312
1533208203.011,4152.900000000001,
1533208203.041,,8.45312
1533208203.564,,8.45312
1533208203.611,4160.52,
1533208204.023,4160.52,
1533208204.140,,8.45312
1533208204.625,4168.14,
1533208204.678,,8.45312
1533208205.058,4175.76,
1533208205.204,,8.45312
1533208205.545,4175.76,
1533208205.736,,8.45312
1533208206.067,4183.38,
1533208206.342,,8.45312
1533208206.614,4183.38,
1533208206.883,,8.45312
1533208207.042,4191.0,
1533208207.293,,8.45312
1533208207.572,4191.0,
1533208207.790,,8.128
1533208208.092,4198.62,
1533208208.338,,8.128
1533208208.624,4198.62,
1533208208.822,,8.128
1533208208.985,4198.62,
1533208209.256,4206.24,
1533208209.265,,8.128
1533208209.791,4213.860000000001,
1533208209.817,,8.128
1533208210.346,4213.860000000001,
1533208210.414,,8.128
1533208210.855,,8.128
1533208210.905,4221.4800000000005,
1533208210.945,4213.860000000001,
1533208211.338,4221.4800000000005,
1533208211.420,,8.128
1533208211.858,,7.80288
1533208211.929,4229.1,
1533208212.357,,7.80288
1533208212.503,4229.1,
1533208212.843,,8.128
1533208213.089,4236.72,
1533208213.286,,8.128
1533208213.620,4236.72,
1533208213.885,,8.128
1533208214.094,4244.34,
1533208214.474,,8.128
1533208214.700,4251.96,
1533208214.932,,8.128
1533208215.340,4251.96,
1533208215.402,,8.128
1533208215.726,4259.58,
1533208215.881,,8.45312
1533208216.236,4259.58,
1533208216.396,,8.45312
1533208216.769,4259.58,
1533208216.824,4267.2,
1533208216.858,,8.45312
1533208217.267,4267.2,
1533208217.438,,8.45312
1533208217.683,4267.2,
1533208217.856,4274.820000000001,
1533208217.904,,8.45312
1533208218.326,4274.820000000001,
1533208218.431,,8.45312
1533208218.870,4282.4400000000005,
1533208218.930,,8.128
1533208219.377,4282.4400000000005,
1533208219.428,,8.128
1533208219.790,4290.06,
1533208219.977,,8.128
1533208220.224,4290.06,
1533208220.387,,8.128
1533208220.635,4290.06,
1533208220.653,4297.68,
1533208220.835,,8.128
1533208221.162,4297.68,
1533208221.368,,8.128
1533208221.440,,8.128
1533208221.649,4305.3,
1533208221.955,,8.128
1533208222.085,4305.3,
1533208222.107,4305.3,
1533208222.467,,8.128
1533208222.676,4312.92,
1533208222.750,4305.3,
1533208223.030,,8.128
1533208223.187,4312.92,
1533208223.464,,8.128
1533208223.532,,8.128
1533208223.631,4320.54,
1533208224.099,4320.54,
1533208224.129,,8.128
1533208224.172,,8.128
1533208224.346,4320.54,
1533208224.534,4328.16,
1533208224.733,,8.128
1533208224.973,4328.16,
